Domain Code,Domain,Area Code (M49),Area,Food Group Code,Food Group,Indicator Code,Indicator,Year Code,Year,Element Code,Element,Unit,Value,Flag,Flag Description,Note
"SUA","Availability (based on supply utilization accounts)","124","Canada","FG1","Cereals and their products","4004","Protein supply","2016","2016","6123","Value","g/cap/d","22.7","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","124","Canada","FG1","Cereals and their products","4004","Protein supply","2017","2017","6123","Value","g/cap/d","23","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","124","Canada","FG1","Cereals and their products","4004","Protein supply","2018","2018","6123","Value","g/cap/d","22.6","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","124","Canada","FG1","Cereals and their products","4004","Protein supply","2019","2019","6123","Value","g/cap/d","23.5","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","124","Canada","FG1","Cereals and their products","4004","Protein supply","2020","2020","6123","Value","g/cap/d","24.5","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","124","Canada","FG1","Cereals and their products","4004","Protein supply","2021","2021","6123","Value","g/cap/d","23.2","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","124","Canada","FG1","Cereals and their products","4004","Protein supply","2022","2022","6123","Value","g/cap/d","23.5","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","124","Canada","FG1","Cereals and their products","4004","Protein supply","2023","2023","6123","Value","g/cap/d","23.8","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","124","Canada","FG1","Cereals and their products","4005","Fat supply","2016","2016","6123","Value","g/cap/d","4.3","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","124","Canada","FG1","Cereals and their products","4005","Fat supply","2017","2017","6123","Value","g/cap/d","4.5","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","124","Canada","FG1","Cereals and their products","4005","Fat supply","2018","2018","6123","Value","g/cap/d","4.4","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","124","Canada","FG1","Cereals and their products","4005","Fat supply","2019","2019","6123","Value","g/cap/d","4.7","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","124","Canada","FG1","Cereals and their products","4005","Fat supply","2020","2020","6123","Value","g/cap/d","4.8","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","124","Canada","FG1","Cereals and their products","4005","Fat supply","2021","2021","6123","Value","g/cap/d","4.7","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","124","Canada","FG1","Cereals and their products","4005","Fat supply","2022","2022","6123","Value","g/cap/d","4.8","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","124","Canada","FG1","Cereals and their products","4005","Fat supply","2023","2023","6123","Value","g/cap/d","4.8","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","124","Canada","FG1","Cereals and their products","4006","Carbohydrate (available) supply","2016","2016","6123","Value","g/cap/d","161","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","124","Canada","FG1","Cereals and their products","4006","Carbohydrate (available) supply","2017","2017","6123","Value","g/cap/d","162","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","124","Canada","FG1","Cereals and their products","4006","Carbohydrate (available) supply","2018","2018","6123","Value","g/cap/d","165.2","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","124","Canada","FG1","Cereals and their products","4006","Carbohydrate (available) supply","2019","2019","6123","Value","g/cap/d","173.1","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","124","Canada","FG1","Cereals and their products","4006","Carbohydrate (available) supply","2020","2020","6123","Value","g/cap/d","179.6","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","124","Canada","FG1","Cereals and their products","4006","Carbohydrate (available) supply","2021","2021","6123","Value","g/cap/d","170.3","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","124","Canada","FG1","Cereals and their products","4006","Carbohydrate (available) supply","2022","2022","6123","Value","g/cap/d","171.9","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","124","Canada","FG1","Cereals and their products","4006","Carbohydrate (available) supply","2023","2023","6123","Value","g/cap/d","177.6","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","124","Canada","FG1","Cereals and their products","4007","Dietary fibre supply","2016","2016","6123","Value","g/cap/d","11.2","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","124","Canada","FG1","Cereals and their products","4007","Dietary fibre supply","2017","2017","6123","Value","g/cap/d","11.6","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","124","Canada","FG1","Cereals and their products","4007","Dietary fibre supply","2018","2018","6123","Value","g/cap/d","11.4","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","124","Canada","FG1","Cereals and their products","4007","Dietary fibre supply","2019","2019","6123","Value","g/cap/d","11.7","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","124","Canada","FG1","Cereals and their products","4007","Dietary fibre supply","2020","2020","6123","Value","g/cap/d","12.5","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","124","Canada","FG1","Cereals and their products","4007","Dietary fibre supply","2021","2021","6123","Value","g/cap/d","11.8","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","124","Canada","FG1","Cereals and their products","4007","Dietary fibre supply","2022","2022","6123","Value","g/cap/d","11.8","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","124","Canada","FG1","Cereals and their products","4007","Dietary fibre supply","2023","2023","6123","Value","g/cap/d","11.8","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","124","Canada","FG1","Cereals and their products","4003","Energy supply","2016","2016","6128","Value","kcal/cap/d","796","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","124","Canada","FG1","Cereals and their products","4003","Energy supply","2017","2017","6128","Value","kcal/cap/d","804","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","124","Canada","FG1","Cereals and their products","4003","Energy supply","2018","2018","6128","Value","kcal/cap/d","814","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","124","Canada","FG1","Cereals and their products","4003","Energy supply","2019","2019","6128","Value","kcal/cap/d","852","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","124","Canada","FG1","Cereals and their products","4003","Energy supply","2020","2020","6128","Value","kcal/cap/d","885","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","124","Canada","FG1","Cereals and their products","4003","Energy supply","2021","2021","6128","Value","kcal/cap/d","840","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","124","Canada","FG1","Cereals and their products","4003","Energy supply","2022","2022","6128","Value","kcal/cap/d","848","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","124","Canada","FG1","Cereals and their products","4003","Energy supply","2023","2023","6128","Value","kcal/cap/d","872","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","124","Canada","FG1","Cereals and their products","4017","Vitamin A supply (retinol equivalents)","2016","2016","6206","Value","μg/cap/d","4","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","124","Canada","FG1","Cereals and their products","4017","Vitamin A supply (retinol equivalents)","2017","2017","6206","Value","μg/cap/d","4","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","124","Canada","FG1","Cereals and their products","4017","Vitamin A supply (retinol equivalents)","2018","2018","6206","Value","μg/cap/d","4","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","124","Canada","FG1","Cereals and their products","4017","Vitamin A supply (retinol equivalents)","2019","2019","6206","Value","μg/cap/d","4","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","124","Canada","FG1","Cereals and their products","4017","Vitamin A supply (retinol equivalents)","2020","2020","6206","Value","μg/cap/d","5","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","124","Canada","FG1","Cereals and their products","4017","Vitamin A supply (retinol equivalents)","2021","2021","6206","Value","μg/cap/d","5","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","124","Canada","FG1","Cereals and their products","4017","Vitamin A supply (retinol equivalents)","2022","2022","6206","Value","μg/cap/d","5","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","124","Canada","FG1","Cereals and their products","4017","Vitamin A supply (retinol equivalents)","2023","2023","6206","Value","μg/cap/d","5","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","124","Canada","FG1","Cereals and their products","4018","Vitamin A supply (retinol activity equivalents)","2016","2016","6206","Value","μg/cap/d","2","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","124","Canada","FG1","Cereals and their products","4018","Vitamin A supply (retinol activity equivalents)","2017","2017","6206","Value","μg/cap/d","2","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","124","Canada","FG1","Cereals and their products","4018","Vitamin A supply (retinol activity equivalents)","2018","2018","6206","Value","μg/cap/d","2","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","124","Canada","FG1","Cereals and their products","4018","Vitamin A supply (retinol activity equivalents)","2019","2019","6206","Value","μg/cap/d","2","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","124","Canada","FG1","Cereals and their products","4018","Vitamin A supply (retinol activity equivalents)","2020","2020","6206","Value","μg/cap/d","3","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","124","Canada","FG1","Cereals and their products","4018","Vitamin A supply (retinol activity equivalents)","2021","2021","6206","Value","μg/cap/d","3","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","124","Canada","FG1","Cereals and their products","4018","Vitamin A supply (retinol activity equivalents)","2022","2022","6206","Value","μg/cap/d","3","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","124","Canada","FG1","Cereals and their products","4018","Vitamin A supply (retinol activity equivalents)","2023","2023","6206","Value","μg/cap/d","3","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","124","Canada","FG1","Cereals and their products","4009","Calcium supply","2016","2016","6209","Value","mg/cap/d","51","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","124","Canada","FG1","Cereals and their products","4009","Calcium supply","2017","2017","6209","Value","mg/cap/d","52","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","124","Canada","FG1","Cereals and their products","4009","Calcium supply","2018","2018","6209","Value","mg/cap/d","50","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","124","Canada","FG1","Cereals and their products","4009","Calcium supply","2019","2019","6209","Value","mg/cap/d","53","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","124","Canada","FG1","Cereals and their products","4009","Calcium supply","2020","2020","6209","Value","mg/cap/d","55","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","124","Canada","FG1","Cereals and their products","4009","Calcium supply","2021","2021","6209","Value","mg/cap/d","51","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","124","Canada","FG1","Cereals and their products","4009","Calcium supply","2022","2022","6209","Value","mg/cap/d","53","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","124","Canada","FG1","Cereals and their products","4009","Calcium supply","2023","2023","6209","Value","mg/cap/d","53","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","124","Canada","FG1","Cereals and their products","4010","Iron supply","2016","2016","6209","Value","mg/cap/d","4.4","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","124","Canada","FG1","Cereals and their products","4010","Iron supply","2017","2017","6209","Value","mg/cap/d","4.5","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","124","Canada","FG1","Cereals and their products","4010","Iron supply","2018","2018","6209","Value","mg/cap/d","4.3","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","124","Canada","FG1","Cereals and their products","4010","Iron supply","2019","2019","6209","Value","mg/cap/d","4.5","E","Estimated value",""
