Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2016","2016","ha","13848","E","Estimated value",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2016","2016","kg/ha","864","E","Estimated value",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2016","2016","t","11965.29","E","Estimated value",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2017","2017","ha","13780","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2017","2017","kg/ha","877.4","E","Estimated value",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2017","2017","t","12090.74","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2018","2018","ha","14023","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2018","2018","kg/ha","881.5","E","Estimated value",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2018","2018","t","12362.27","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2019","2019","ha","14282","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2019","2019","kg/ha","883.7","E","Estimated value",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2019","2019","t","12621.49","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2020","2020","ha","14028","E","Estimated value",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2020","2020","kg/ha","880.9","E","Estimated value",""
