Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EM","Emissions indicators","124","Canada","726313","Emissions Share (CO2eq) (AR5)","6996","Farm gate","2016","2016","%","12.86","E","Estimated value"
"EM","Emissions indicators","124","Canada","726313","Emissions Share (CO2eq) (AR5)","6996","Farm gate","2017","2017","%","12.52","E","Estimated value"
"EM","Emissions indicators","124","Canada","726313","Emissions Share (CO2eq) (AR5)","6996","Farm gate","2018","2018","%","12.68","E","Estimated value"
"EM","Emissions indicators","124","Canada","726313","Emissions Share (CO2eq) (AR5)","6996","Farm gate","2019","2019","%","12.5","E","Estimated value"
"EM","Emissions indicators","124","Canada","726313","Emissions Share (CO2eq) (AR5)","6996","Farm gate","2020","2020","%","13.65","E","Estimated value"
"EM","Emissions indicators","124","Canada","726313","Emissions Share (CO2eq) (AR5)","6996","Farm gate","2021","2021","%","13.7","E","Estimated value"
"EM","Emissions indicators","124","Canada","726313","Emissions Share (CO2eq) (AR5)","6996","Farm gate","2022","2022","%","13.49","E","Estimated value"
"EM","Emissions indicators","124","Canada","726313","Emissions Share (CO2eq) (AR5)","6996","Farm gate","2023","2023","%","13.75","E","Estimated value"
"EM","Emissions indicators","124","Canada","7264","Emissions Share (CO2)","6996","Farm gate","2016","2016","%","7.87","E","Estimated value"
"EM","Emissions indicators","124","Canada","7264","Emissions Share (CO2)","6996","Farm gate","2017","2017","%","7.61","E","Estimated value"
"EM","Emissions indicators","124","Canada","7264","Emissions Share (CO2)","6996","Farm gate","2018","2018","%","7.7","E","Estimated value"
"EM","Emissions indicators","124","Canada","7264","Emissions Share (CO2)","6996","Farm gate","2019","2019","%","7.59","E","Estimated value"
"EM","Emissions indicators","124","Canada","7264","Emissions Share (CO2)","6996","Farm gate","2020","2020","%","8.06","E","Estimated value"
"EM","Emissions indicators","124","Canada","7264","Emissions Share (CO2)","6996","Farm gate","2021","2021","%","8.29","E","Estimated value"
"EM","Emissions indicators","124","Canada","7264","Emissions Share (CO2)","6996","Farm gate","2022","2022","%","8.15","E","Estimated value"
"EM","Emissions indicators","124","Canada","7264","Emissions Share (CO2)","6996","Farm gate","2023","2023","%","8.1","E","Estimated value"
"EM","Emissions indicators","124","Canada","7265","Emissions Share (CH4)","6996","Farm gate","2016","2016","%","23.01","E","Estimated value"
"EM","Emissions indicators","124","Canada","7265","Emissions Share (CH4)","6996","Farm gate","2017","2017","%","22.96","E","Estimated value"
"EM","Emissions indicators","124","Canada","7265","Emissions Share (CH4)","6996","Farm gate","2018","2018","%","22.6","E","Estimated value"
"EM","Emissions indicators","124","Canada","7265","Emissions Share (CH4)","6996","Farm gate","2019","2019","%","22.89","E","Estimated value"
"EM","Emissions indicators","124","Canada","7265","Emissions Share (CH4)","6996","Farm gate","2020","2020","%","25.56","E","Estimated value"
"EM","Emissions indicators","124","Canada","7265","Emissions Share (CH4)","6996","Farm gate","2021","2021","%","24.84","E","Estimated value"
