Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EI","Emissions intensities","124","Canada","71761","Emissions intensity","F1718","Cereals excluding rice","2016","2016","kg CO2eq/kg","0.214","E","Estimated value"
"EI","Emissions intensities","124","Canada","71761","Emissions intensity","F1718","Cereals excluding rice","2017","2017","kg CO2eq/kg","0.2202","E","Estimated value"
"EI","Emissions intensities","124","Canada","71761","Emissions intensity","F1718","Cereals excluding rice","2018","2018","kg CO2eq/kg","0.2342","E","Estimated value"
"EI","Emissions intensities","124","Canada","71761","Emissions intensity","F1718","Cereals excluding rice","2019","2019","kg CO2eq/kg","0.2146","E","Estimated value"
"EI","Emissions intensities","124","Canada","71761","Emissions intensity","F1718","Cereals excluding rice","2020","2020","kg CO2eq/kg","0.2317","E","Estimated value"
"EI","Emissions intensities","124","Canada","71761","Emissions intensity","F1718","Cereals excluding rice","2021","2021","kg CO2eq/kg","0.2798","E","Estimated value"
"EI","Emissions intensities","124","Canada","71761","Emissions intensity","F1718","Cereals excluding rice","2022","2022","kg CO2eq/kg","0.2155","E","Estimated value"
"EI","Emissions intensities","124","Canada","71761","Emissions intensity","F1718","Cereals excluding rice","2023","2023","kg CO2eq/kg","0.0678","E","Estimated value"
"EI","Emissions intensities","124","Canada","723113","Emissions (CO2eq) (AR5)","F1718","Cereals excluding rice","2016","2016","kt","12523.6774","E","Estimated value"
"EI","Emissions intensities","124","Canada","723113","Emissions (CO2eq) (AR5)","F1718","Cereals excluding rice","2017","2017","kt","12425.8658","E","Estimated value"
"EI","Emissions intensities","124","Canada","723113","Emissions (CO2eq) (AR5)","F1718","Cereals excluding rice","2018","2018","kt","13652.9556","E","Estimated value"
"EI","Emissions intensities","124","Canada","723113","Emissions (CO2eq) (AR5)","F1718","Cereals excluding rice","2019","2019","kt","13095.2526","E","Estimated value"
"EI","Emissions intensities","124","Canada","723113","Emissions (CO2eq) (AR5)","F1718","Cereals excluding rice","2020","2020","kt","15018.1755","E","Estimated value"
"EI","Emissions intensities","124","Canada","723113","Emissions (CO2eq) (AR5)","F1718","Cereals excluding rice","2021","2021","kt","13192.0933","E","Estimated value"
"EI","Emissions intensities","124","Canada","723113","Emissions (CO2eq) (AR5)","F1718","Cereals excluding rice","2022","2022","kt","13921.6123","E","Estimated value"
"EI","Emissions intensities","124","Canada","723113","Emissions (CO2eq) (AR5)","F1718","Cereals excluding rice","2023","2023","kt","3993.0273","E","Estimated value"
"EI","Emissions intensities","124","Canada","5510","Production","F1718","Cereals excluding rice","2016","2016","t","58535500","E","Estimated value"
"EI","Emissions intensities","124","Canada","5510","Production","F1718","Cereals excluding rice","2017","2017","t","56438335","E","Estimated value"
"EI","Emissions intensities","124","Canada","5510","Production","F1718","Cereals excluding rice","2018","2018","t","58288800","E","Estimated value"
"EI","Emissions intensities","124","Canada","5510","Production","F1718","Cereals excluding rice","2019","2019","t","61017000","E","Estimated value"
"EI","Emissions intensities","124","Canada","5510","Production","F1718","Cereals excluding rice","2020","2020","t","64804700","E","Estimated value"
"EI","Emissions intensities","124","Canada","5510","Production","F1718","Cereals excluding rice","2021","2021","t","47151642","E","Estimated value"
"EI","Emissions intensities","124","Canada","5510","Production","F1718","Cereals excluding rice","2022","2022","t","64606988","E","Estimated value"
"EI","Emissions intensities","124","Canada","5510","Production","F1718","Cereals excluding rice","2023","2023","t","58919697","E","Estimated value"
"EI","Emissions intensities","124","Canada","71761","Emissions intensity","21111.01","Meat of cattle with the bone, fresh or chilled","2016","2016","kg CO2eq/kg","19.0054","E","Estimated value"
"EI","Emissions intensities","124","Canada","71761","Emissions intensity","21111.01","Meat of cattle with the bone, fresh or chilled","2017","2017","kg CO2eq/kg","17.4004","E","Estimated value"
"EI","Emissions intensities","124","Canada","71761","Emissions intensity","21111.01","Meat of cattle with the bone, fresh or chilled","2018","2018","kg CO2eq/kg","16.7434","E","Estimated value"
"EI","Emissions intensities","124","Canada","71761","Emissions intensity","21111.01","Meat of cattle with the bone, fresh or chilled","2019","2019","kg CO2eq/kg","15.7865","E","Estimated value"
"EI","Emissions intensities","124","Canada","71761","Emissions intensity","21111.01","Meat of cattle with the bone, fresh or chilled","2020","2020","kg CO2eq/kg","15.7274","E","Estimated value"
"EI","Emissions intensities","124","Canada","71761","Emissions intensity","21111.01","Meat of cattle with the bone, fresh or chilled","2021","2021","kg CO2eq/kg","15.0956","E","Estimated value"
"EI","Emissions intensities","124","Canada","71761","Emissions intensity","21111.01","Meat of cattle with the bone, fresh or chilled","2022","2022","kg CO2eq/kg","14.7961","E","Estimated value"
"EI","Emissions intensities","124","Canada","71761","Emissions intensity","21111.01","Meat of cattle with the bone, fresh or chilled","2023","2023","kg CO2eq/kg","15.1861","E","Estimated value"
"EI","Emissions intensities","124","Canada","723113","Emissions (CO2eq) (AR5)","21111.01","Meat of cattle with the bone, fresh or chilled","2016","2016","kt","21133.8521","E","Estimated value"
"EI","Emissions intensities","124","Canada","723113","Emissions (CO2eq) (AR5)","21111.01","Meat of cattle with the bone, fresh or chilled","2017","2017","kt","20933.0925","E","Estimated value"
"EI","Emissions intensities","124","Canada","723113","Emissions (CO2eq) (AR5)","21111.01","Meat of cattle with the bone, fresh or chilled","2018","2018","kt","21196.0364","E","Estimated value"
"EI","Emissions intensities","124","Canada","723113","Emissions (CO2eq) (AR5)","21111.01","Meat of cattle with the bone, fresh or chilled","2019","2019","kt","21185.3541","E","Estimated value"
"EI","Emissions intensities","124","Canada","723113","Emissions (CO2eq) (AR5)","21111.01","Meat of cattle with the bone, fresh or chilled","2020","2020","kt","20921.8506","E","Estimated value"
"EI","Emissions intensities","124","Canada","723113","Emissions (CO2eq) (AR5)","21111.01","Meat of cattle with the bone, fresh or chilled","2021","2021","kt","20884.574","E","Estimated value"
"EI","Emissions intensities","124","Canada","723113","Emissions (CO2eq) (AR5)","21111.01","Meat of cattle with the bone, fresh or chilled","2022","2022","kt","20895.2563","E","Estimated value"
"EI","Emissions intensities","124","Canada","723113","Emissions (CO2eq) (AR5)","21111.01","Meat of cattle with the bone, fresh or chilled","2023","2023","kt","20468.2963","E","Estimated value"
"EI","Emissions intensities","124","Canada","5510","Production","21111.01","Meat of cattle with the bone, fresh or chilled","2016","2016","t","1111992","A","Official figure"
"EI","Emissions intensities","124","Canada","5510","Production","21111.01","Meat of cattle with the bone, fresh or chilled","2017","2017","t","1203026","A","Official figure"
"EI","Emissions intensities","124","Canada","5510","Production","21111.01","Meat of cattle with the bone, fresh or chilled","2018","2018","t","1265935","A","Official figure"
"EI","Emissions intensities","124","Canada","5510","Production","21111.01","Meat of cattle with the bone, fresh or chilled","2019","2019","t","1341994","A","Official figure"
"EI","Emissions intensities","124","Canada","5510","Production","21111.01","Meat of cattle with the bone, fresh or chilled","2020","2020","t","1330281","A","Official figure"
"EI","Emissions intensities","124","Canada","5510","Production","21111.01","Meat of cattle with the bone, fresh or chilled","2021","2021","t","1383483","A","Official figure"
"EI","Emissions intensities","124","Canada","5510","Production","21111.01","Meat of cattle with the bone, fresh or chilled","2022","2022","t","1412215","A","Official figure"
"EI","Emissions intensities","124","Canada","5510","Production","21111.01","Meat of cattle with the bone, fresh or chilled","2023","2023","t","1347831","A","Official figure"
"EI","Emissions intensities","124","Canada","71761","Emissions intensity","02211","Raw milk of cattle","2016","2016","kg CO2eq/kg","0.6009","E","Estimated value"
"EI","Emissions intensities","124","Canada","71761","Emissions intensity","02211","Raw milk of cattle","2017","2017","kg CO2eq/kg","0.5673","E","Estimated value"
"EI","Emissions intensities","124","Canada","71761","Emissions intensity","02211","Raw milk of cattle","2018","2018","kg CO2eq/kg","0.5677","E","Estimated value"
"EI","Emissions intensities","124","Canada","71761","Emissions intensity","02211","Raw milk of cattle","2019","2019","kg CO2eq/kg","0.5716","E","Estimated value"
"EI","Emissions intensities","124","Canada","71761","Emissions intensity","02211","Raw milk of cattle","2020","2020","kg CO2eq/kg","0.5657","E","Estimated value"
"EI","Emissions intensities","124","Canada","71761","Emissions intensity","02211","Raw milk of cattle","2021","2021","kg CO2eq/kg","0.5526","E","Estimated value"
"EI","Emissions intensities","124","Canada","71761","Emissions intensity","02211","Raw milk of cattle","2022","2022","kg CO2eq/kg","0.5532","E","Estimated value"
"EI","Emissions intensities","124","Canada","71761","Emissions intensity","02211","Raw milk of cattle","2023","2023","kg CO2eq/kg","0.5426","E","Estimated value"
"EI","Emissions intensities","124","Canada","723113","Emissions (CO2eq) (AR5)","02211","Raw milk of cattle","2016","2016","kt","5247.9696","E","Estimated value"
"EI","Emissions intensities","124","Canada","723113","Emissions (CO2eq) (AR5)","02211","Raw milk of cattle","2017","2017","kt","5255.1975","E","Estimated value"
"EI","Emissions intensities","124","Canada","723113","Emissions (CO2eq) (AR5)","02211","Raw milk of cattle","2018","2018","kt","5407.0364","E","Estimated value"
"EI","Emissions intensities","124","Canada","723113","Emissions (CO2eq) (AR5)","02211","Raw milk of cattle","2019","2019","kt","5437.0396","E","Estimated value"
"EI","Emissions intensities","124","Canada","723113","Emissions (CO2eq) (AR5)","02211","Raw milk of cattle","2020","2020","kt","5453.7316","E","Estimated value"
"EI","Emissions intensities","124","Canada","723113","Emissions (CO2eq) (AR5)","02211","Raw milk of cattle","2021","2021","kt","5419.2295","E","Estimated value"
"EI","Emissions intensities","124","Canada","723113","Emissions (CO2eq) (AR5)","02211","Raw milk of cattle","2022","2022","kt","5389.2263","E","Estimated value"
"EI","Emissions intensities","124","Canada","723113","Emissions (CO2eq) (AR5)","02211","Raw milk of cattle","2023","2023","kt","5364.1883","E","Estimated value"
"EI","Emissions intensities","124","Canada","5510","Production","02211","Raw milk of cattle","2016","2016","t","8733086","A","Official figure"
"EI","Emissions intensities","124","Canada","5510","Production","02211","Raw milk of cattle","2017","2017","t","9262710","A","Official figure"
"EI","Emissions intensities","124","Canada","5510","Production","02211","Raw milk of cattle","2018","2018","t","9524584","A","Official figure"
"EI","Emissions intensities","124","Canada","5510","Production","02211","Raw milk of cattle","2019","2019","t","9512006","A","Official figure"
"EI","Emissions intensities","124","Canada","5510","Production","02211","Raw milk of cattle","2020","2020","t","9640572","A","Official figure"
"EI","Emissions intensities","124","Canada","5510","Production","02211","Raw milk of cattle","2021","2021","t","9807240","A","Official figure"
"EI","Emissions intensities","124","Canada","5510","Production","02211","Raw milk of cattle","2022","2022","t","9742541","A","Official figure"
"EI","Emissions intensities","124","Canada","5510","Production","02211","Raw milk of cattle","2023","2023","t","9886559","A","Official figure"
"EI","Emissions intensities","124","Canada","723113","Emissions (CO2eq) (AR5)","21116","Meat of goat, fresh or chilled","2016","2016","kt","5.4515","E","Estimated value"
"EI","Emissions intensities","124","Canada","723113","Emissions (CO2eq) (AR5)","21116","Meat of goat, fresh or chilled","2017","2017","kt","5.4515","E","Estimated value"
"EI","Emissions intensities","124","Canada","723113","Emissions (CO2eq) (AR5)","21116","Meat of goat, fresh or chilled","2018","2018","kt","5.4543","E","Estimated value"
"EI","Emissions intensities","124","Canada","723113","Emissions (CO2eq) (AR5)","21116","Meat of goat, fresh or chilled","2019","2019","kt","5.4543","E","Estimated value"
"EI","Emissions intensities","124","Canada","723113","Emissions (CO2eq) (AR5)","21116","Meat of goat, fresh or chilled","2020","2020","kt","5.4599","E","Estimated value"
"EI","Emissions intensities","124","Canada","723113","Emissions (CO2eq) (AR5)","21116","Meat of goat, fresh or chilled","2021","2021","kt","5.4571","E","Estimated value"
"EI","Emissions intensities","124","Canada","723113","Emissions (CO2eq) (AR5)","21116","Meat of goat, fresh or chilled","2022","2022","kt","5.4571","E","Estimated value"
"EI","Emissions intensities","124","Canada","723113","Emissions (CO2eq) (AR5)","21116","Meat of goat, fresh or chilled","2023","2023","kt","5.4571","E","Estimated value"
"EI","Emissions intensities","124","Canada","71761","Emissions intensity","21115","Meat of sheep, fresh or chilled","2016","2016","kg CO2eq/kg","13.6741","E","Estimated value"
"EI","Emissions intensities","124","Canada","71761","Emissions intensity","21115","Meat of sheep, fresh or chilled","2017","2017","kg CO2eq/kg","13.8942","E","Estimated value"
"EI","Emissions intensities","124","Canada","71761","Emissions intensity","21115","Meat of sheep, fresh or chilled","2018","2018","kg CO2eq/kg","14.1999","E","Estimated value"
"EI","Emissions intensities","124","Canada","71761","Emissions intensity","21115","Meat of sheep, fresh or chilled","2019","2019","kg CO2eq/kg","13.7501","E","Estimated value"
"EI","Emissions intensities","124","Canada","71761","Emissions intensity","21115","Meat of sheep, fresh or chilled","2020","2020","kg CO2eq/kg","13.2868","E","Estimated value"
"EI","Emissions intensities","124","Canada","71761","Emissions intensity","21115","Meat of sheep, fresh or chilled","2021","2021","kg CO2eq/kg","13.3151","E","Estimated value"
"EI","Emissions intensities","124","Canada","71761","Emissions intensity","21115","Meat of sheep, fresh or chilled","2022","2022","kg CO2eq/kg","13.2391","E","Estimated value"
"EI","Emissions intensities","124","Canada","71761","Emissions intensity","21115","Meat of sheep, fresh or chilled","2023","2023","kg CO2eq/kg","13.231","E","Estimated value"
"EI","Emissions intensities","124","Canada","723113","Emissions (CO2eq) (AR5)","21115","Meat of sheep, fresh or chilled","2016","2016","kt","224.7616","E","Estimated value"
"EI","Emissions intensities","124","Canada","723113","Emissions (CO2eq) (AR5)","21115","Meat of sheep, fresh or chilled","2017","2017","kt","224.4049","E","Estimated value"
"EI","Emissions intensities","124","Canada","723113","Emissions (CO2eq) (AR5)","21115","Meat of sheep, fresh or chilled","2018","2018","kt","228.7029","E","Estimated value"
"EI","Emissions intensities","124","Canada","723113","Emissions (CO2eq) (AR5)","21115","Meat of sheep, fresh or chilled","2019","2019","kt","228.279","E","Estimated value"
"EI","Emissions intensities","124","Canada","723113","Emissions (CO2eq) (AR5)","21115","Meat of sheep, fresh or chilled","2020","2020","kt","223.564","E","Estimated value"
"EI","Emissions intensities","124","Canada","723113","Emissions (CO2eq) (AR5)","21115","Meat of sheep, fresh or chilled","2021","2021","kt","224.3601","E","Estimated value"
"EI","Emissions intensities","124","Canada","723113","Emissions (CO2eq) (AR5)","21115","Meat of sheep, fresh or chilled","2022","2022","kt","226.7064","E","Estimated value"
"EI","Emissions intensities","124","Canada","723113","Emissions (CO2eq) (AR5)","21115","Meat of sheep, fresh or chilled","2023","2023","kt","233.4879","E","Estimated value"
"EI","Emissions intensities","124","Canada","5510","Production","21115","Meat of sheep, fresh or chilled","2016","2016","t","16437","A","Official figure"
"EI","Emissions intensities","124","Canada","5510","Production","21115","Meat of sheep, fresh or chilled","2017","2017","t","16151","A","Official figure"
"EI","Emissions intensities","124","Canada","5510","Production","21115","Meat of sheep, fresh or chilled","2018","2018","t","16106","A","Official figure"
"EI","Emissions intensities","124","Canada","5510","Production","21115","Meat of sheep, fresh or chilled","2019","2019","t","16602","A","Official figure"
"EI","Emissions intensities","124","Canada","5510","Production","21115","Meat of sheep, fresh or chilled","2020","2020","t","16826","A","Official figure"
"EI","Emissions intensities","124","Canada","5510","Production","21115","Meat of sheep, fresh or chilled","2021","2021","t","16850","A","Official figure"
"EI","Emissions intensities","124","Canada","5510","Production","21115","Meat of sheep, fresh or chilled","2022","2022","t","17124","A","Official figure"
