Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Source Code,Source,Unit,Value,Flag,Flag Description,Note
"GT","Emissions totals","124","Canada","7234","Direct emissions (N2O)","5064","Crop Residues","2016","2016","3050","FAO TIER 1","kt","11.9406","E","Estimated value",""
"GT","Emissions totals","124","Canada","7236","Indirect emissions (N2O)","5064","Crop Residues","2016","2016","3050","FAO TIER 1","kt","2.6866","E","Estimated value",""
"GT","Emissions totals","124","Canada","7230","Emissions (N2O)","5064","Crop Residues","2016","2016","3050","FAO TIER 1","kt","14.6273","E","Estimated value",""
"GT","Emissions totals","124","Canada","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","2016","2016","3050","FAO TIER 1","kt","3876.2345","E","Estimated value",""
"GT","Emissions totals","124","Canada","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","2016","2016","3050","FAO TIER 1","kt","3876.2345","E","Estimated value",""
"GT","Emissions totals","124","Canada","7234","Direct emissions (N2O)","5064","Crop Residues","2017","2017","3050","FAO TIER 1","kt","11.8249","E","Estimated value",""
"GT","Emissions totals","124","Canada","7236","Indirect emissions (N2O)","5064","Crop Residues","2017","2017","3050","FAO TIER 1","kt","2.6606","E","Estimated value",""
"GT","Emissions totals","124","Canada","7230","Emissions (N2O)","5064","Crop Residues","2017","2017","3050","FAO TIER 1","kt","14.4855","E","Estimated value",""
"GT","Emissions totals","124","Canada","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","2017","2017","3050","FAO TIER 1","kt","3838.6575","E","Estimated value",""
"GT","Emissions totals","124","Canada","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","2017","2017","3050","FAO TIER 1","kt","3838.6575","E","Estimated value",""
"GT","Emissions totals","124","Canada","7234","Direct emissions (N2O)","5064","Crop Residues","2018","2018","3050","FAO TIER 1","kt","12.1479","E","Estimated value",""
"GT","Emissions totals","124","Canada","7236","Indirect emissions (N2O)","5064","Crop Residues","2018","2018","3050","FAO TIER 1","kt","2.7333","E","Estimated value",""
"GT","Emissions totals","124","Canada","7230","Emissions (N2O)","5064","Crop Residues","2018","2018","3050","FAO TIER 1","kt","14.8811","E","Estimated value",""
"GT","Emissions totals","124","Canada","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","2018","2018","3050","FAO TIER 1","kt","3943.4915","E","Estimated value",""
"GT","Emissions totals","124","Canada","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","2018","2018","3050","FAO TIER 1","kt","3943.4915","E","Estimated value",""
"GT","Emissions totals","124","Canada","7234","Direct emissions (N2O)","5064","Crop Residues","2019","2019","3050","FAO TIER 1","kt","12.4188","E","Estimated value",""
"GT","Emissions totals","124","Canada","7236","Indirect emissions (N2O)","5064","Crop Residues","2019","2019","3050","FAO TIER 1","kt","2.7942","E","Estimated value",""
"GT","Emissions totals","124","Canada","7230","Emissions (N2O)","5064","Crop Residues","2019","2019","3050","FAO TIER 1","kt","15.2131","E","Estimated value",""
"GT","Emissions totals","124","Canada","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","2019","2019","3050","FAO TIER 1","kt","4031.4715","E","Estimated value",""
"GT","Emissions totals","124","Canada","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","2019","2019","3050","FAO TIER 1","kt","4031.4715","E","Estimated value",""
"GT","Emissions totals","124","Canada","7234","Direct emissions (N2O)","5064","Crop Residues","2020","2020","3050","FAO TIER 1","kt","13.1274","E","Estimated value",""
"GT","Emissions totals","124","Canada","7236","Indirect emissions (N2O)","5064","Crop Residues","2020","2020","3050","FAO TIER 1","kt","2.9537","E","Estimated value",""
"GT","Emissions totals","124","Canada","7230","Emissions (N2O)","5064","Crop Residues","2020","2020","3050","FAO TIER 1","kt","16.081","E","Estimated value",""
"GT","Emissions totals","124","Canada","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","2020","2020","3050","FAO TIER 1","kt","4261.465","E","Estimated value",""
"GT","Emissions totals","124","Canada","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","2020","2020","3050","FAO TIER 1","kt","4261.465","E","Estimated value",""
"GT","Emissions totals","124","Canada","7234","Direct emissions (N2O)","5064","Crop Residues","2021","2021","3050","FAO TIER 1","kt","9.9155","E","Estimated value",""
"GT","Emissions totals","124","Canada","7236","Indirect emissions (N2O)","5064","Crop Residues","2021","2021","3050","FAO TIER 1","kt","2.231","E","Estimated value",""
"GT","Emissions totals","124","Canada","7230","Emissions (N2O)","5064","Crop Residues","2021","2021","3050","FAO TIER 1","kt","12.1465","E","Estimated value",""
"GT","Emissions totals","124","Canada","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","2021","2021","3050","FAO TIER 1","kt","3218.8225","E","Estimated value",""
"GT","Emissions totals","124","Canada","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","2021","2021","3050","FAO TIER 1","kt","3218.8225","E","Estimated value",""
"GT","Emissions totals","124","Canada","7234","Direct emissions (N2O)","5064","Crop Residues","2022","2022","3050","FAO TIER 1","kt","13.0406","E","Estimated value",""
"GT","Emissions totals","124","Canada","7236","Indirect emissions (N2O)","5064","Crop Residues","2022","2022","3050","FAO TIER 1","kt","2.9341","E","Estimated value",""
"GT","Emissions totals","124","Canada","7230","Emissions (N2O)","5064","Crop Residues","2022","2022","3050","FAO TIER 1","kt","15.9747","E","Estimated value",""
"GT","Emissions totals","124","Canada","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","2022","2022","3050","FAO TIER 1","kt","4233.2955","E","Estimated value",""
"GT","Emissions totals","124","Canada","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","2022","2022","3050","FAO TIER 1","kt","4233.2955","E","Estimated value",""
"GT","Emissions totals","124","Canada","7234","Direct emissions (N2O)","5064","Crop Residues","2023","2023","3050","FAO TIER 1","kt","12.1918","E","Estimated value",""
"GT","Emissions totals","124","Canada","7236","Indirect emissions (N2O)","5064","Crop Residues","2023","2023","3050","FAO TIER 1","kt","2.7432","E","Estimated value",""
"GT","Emissions totals","124","Canada","7230","Emissions (N2O)","5064","Crop Residues","2023","2023","3050","FAO TIER 1","kt","14.9349","E","Estimated value",""
"GT","Emissions totals","124","Canada","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","2023","2023","3050","FAO TIER 1","kt","3957.7485","E","Estimated value",""
"GT","Emissions totals","124","Canada","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","2023","2023","3050","FAO TIER 1","kt","3957.7485","E","Estimated value",""
"GT","Emissions totals","124","Canada","7225","Emissions (CH4)","5066","Burning - Crop residues","2016","2016","3050","FAO TIER 1","kt","13.5109","E","Estimated value",""
"GT","Emissions totals","124","Canada","7230","Emissions (N2O)","5066","Burning - Crop residues","2016","2016","3050","FAO TIER 1","kt","0.3503","E","Estimated value",""
