Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QV","Value of Agricultural Production","124","Canada","152","Gross Production Value (constant 2014-2016 thousand I$)","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2016","2016","1000 Int$","26007","E","Estimated value"
"QV","Value of Agricultural Production","124","Canada","152","Gross Production Value (constant 2014-2016 thousand I$)","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2017","2017","1000 Int$","26280","E","Estimated value"
"QV","Value of Agricultural Production","124","Canada","152","Gross Production Value (constant 2014-2016 thousand I$)","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2018","2018","1000 Int$","26870","E","Estimated value"
"QV","Value of Agricultural Production","124","Canada","152","Gross Production Value (constant 2014-2016 thousand I$)","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2019","2019","1000 Int$","27434","E","Estimated value"
"QV","Value of Agricultural Production","124","Canada","152","Gross Production Value (constant 2014-2016 thousand I$)","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2020","2020","1000 Int$","26861","E","Estimated value"
"QV","Value of Agricultural Production","124","Canada","152","Gross Production Value (constant 2014-2016 thousand I$)","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2021","2021","1000 Int$","27055","E","Estimated value"
"QV","Value of Agricultural Production","124","Canada","152","Gross Production Value (constant 2014-2016 thousand I$)","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2022","2022","1000 Int$","27117","E","Estimated value"
"QV","Value of Agricultural Production","124","Canada","152","Gross Production Value (constant 2014-2016 thousand I$)","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2023","2023","1000 Int$","27011","E","Estimated value"
"QV","Value of Agricultural Production","124","Canada","152","Gross Production Value (constant 2014-2016 thousand I$)","01341","Apples","2016","2016","1000 Int$","197291","E","Estimated value"
"QV","Value of Agricultural Production","124","Canada","152","Gross Production Value (constant 2014-2016 thousand I$)","01341","Apples","2017","2017","1000 Int$","189783","E","Estimated value"
