Domain Code,Domain,Area Code (M49),Area,Indicator Code,Indicator,Sex Code,Sex,Year Code,Year,Element Code,Element,Source Code,Source,Unit,Value,Flag,Flag Description,Note
"OEA","Employment Indicators: Agriculture and agrifood systems","124","Canada","21160","Total employment in agrifood systems (AFS)","1","Total","2016","2016","6199","Value","3044","FAO Model","1000 No","2929.16","E","Estimated value","Derived from Statistics Canada. Table 14-10-0202-01  Employment by industry, annual"
"OEA","Employment Indicators: Agriculture and agrifood systems","124","Canada","21160","Total employment in agrifood systems (AFS)","1","Total","2017","2017","6199","Value","3044","FAO Model","1000 No","2903.86","E","Estimated value","Derived from Statistics Canada. Table 14-10-0202-01  Employment by industry, annual"
"OEA","Employment Indicators: Agriculture and agrifood systems","124","Canada","21160","Total employment in agrifood systems (AFS)","1","Total","2018","2018","6199","Value","3044","FAO Model","1000 No","2956.97","E","Estimated value","Derived from Statistics Canada. Table 14-10-0202-01  Employment by industry, annual"
"OEA","Employment Indicators: Agriculture and agrifood systems","124","Canada","21160","Total employment in agrifood systems (AFS)","1","Total","2019","2019","6199","Value","3044","FAO Model","1000 No","3020.33","E","Estimated value","Derived from Statistics Canada. Table 14-10-0202-01  Employment by industry, annual"
"OEA","Employment Indicators: Agriculture and agrifood systems","124","Canada","21160","Total employment in agrifood systems (AFS)","1","Total","2020","2020","6199","Value","3044","FAO Model","1000 No","2587.16","E","Estimated value","Derived from Statistics Canada. Table 14-10-0202-01  Employment by industry, annual"
"OEA","Employment Indicators: Agriculture and agrifood systems","124","Canada","21160","Total employment in agrifood systems (AFS)","1","Total","2021","2021","6199","Value","3044","FAO Model","1000 No","2687.34","E","Estimated value","Derived from Statistics Canada. Table 14-10-0202-01  Employment by industry, annual"
"OEA","Employment Indicators: Agriculture and agrifood systems","124","Canada","21160","Total employment in agrifood systems (AFS)","1","Total","2022","2022","6199","Value","3044","FAO Model","1000 No","2890.82","E","Estimated value","Derived from Statistics Canada. Table 14-10-0202-01  Employment by industry, annual"
"OEA","Employment Indicators: Agriculture and agrifood systems","124","Canada","21163","Total non-agricultural AFS employment","1","Total","2016","2016","6199","Value","3044","FAO Model","1000 No","2567.24","E","Estimated value","Derived from Statistics Canada. Table 14-10-0202-01  Employment by industry, annual"
"OEA","Employment Indicators: Agriculture and agrifood systems","124","Canada","21163","Total non-agricultural AFS employment","1","Total","2017","2017","6199","Value","3044","FAO Model","1000 No","2615.84","E","Estimated value","Derived from Statistics Canada. Table 14-10-0202-01  Employment by industry, annual"
"OEA","Employment Indicators: Agriculture and agrifood systems","124","Canada","21163","Total non-agricultural AFS employment","1","Total","2018","2018","6199","Value","3044","FAO Model","1000 No","2663.58","E","Estimated value","Derived from Statistics Canada. Table 14-10-0202-01  Employment by industry, annual"
"OEA","Employment Indicators: Agriculture and agrifood systems","124","Canada","21163","Total non-agricultural AFS employment","1","Total","2019","2019","6199","Value","3044","FAO Model","1000 No","2717.32","E","Estimated value","Derived from Statistics Canada. Table 14-10-0202-01  Employment by industry, annual"
"OEA","Employment Indicators: Agriculture and agrifood systems","124","Canada","21163","Total non-agricultural AFS employment","1","Total","2020","2020","6199","Value","3044","FAO Model","1000 No","2298.82","E","Estimated value","Derived from Statistics Canada. Table 14-10-0202-01  Employment by industry, annual"
"OEA","Employment Indicators: Agriculture and agrifood systems","124","Canada","21163","Total non-agricultural AFS employment","1","Total","2021","2021","6199","Value","3044","FAO Model","1000 No","2420.74","E","Estimated value","Derived from Statistics Canada. Table 14-10-0202-01  Employment by industry, annual"
"OEA","Employment Indicators: Agriculture and agrifood systems","124","Canada","21163","Total non-agricultural AFS employment","1","Total","2022","2022","6199","Value","3044","FAO Model","1000 No","2626.08","E","Estimated value","Derived from Statistics Canada. Table 14-10-0202-01  Employment by industry, annual"
"OEA","Employment Indicators: Agriculture and agrifood systems","124","Canada","21161","Share of AFS employment in total employment","1","Total","2016","2016","6121","Value","3044","FAO Model","%","18.29","X","Figure from external organization","Derived from Statistics Canada. Table 14-10-0202-01  Employment by industry, annual"
"OEA","Employment Indicators: Agriculture and agrifood systems","124","Canada","21161","Share of AFS employment in total employment","1","Total","2017","2017","6121","Value","3044","FAO Model","%","17.77","X","Figure from external organization","Derived from Statistics Canada. Table 14-10-0202-01  Employment by industry, annual"
"OEA","Employment Indicators: Agriculture and agrifood systems","124","Canada","21161","Share of AFS employment in total employment","1","Total","2018","2018","6121","Value","3044","FAO Model","%","17.41","X","Figure from external organization","Derived from Statistics Canada. Table 14-10-0202-01  Employment by industry, annual"
"OEA","Employment Indicators: Agriculture and agrifood systems","124","Canada","21161","Share of AFS employment in total employment","1","Total","2019","2019","6121","Value","3044","FAO Model","%","17.45","X","Figure from external organization","Derived from Statistics Canada. Table 14-10-0202-01  Employment by industry, annual"
"OEA","Employment Indicators: Agriculture and agrifood systems","124","Canada","21161","Share of AFS employment in total employment","1","Total","2020","2020","6121","Value","3044","FAO Model","%","16.27","X","Figure from external organization","Derived from Statistics Canada. Table 14-10-0202-01  Employment by industry, annual"
"OEA","Employment Indicators: Agriculture and agrifood systems","124","Canada","21161","Share of AFS employment in total employment","1","Total","2021","2021","6121","Value","3044","FAO Model","%","16.01","X","Figure from external organization","Derived from Statistics Canada. Table 14-10-0202-01  Employment by industry, annual"
"OEA","Employment Indicators: Agriculture and agrifood systems","124","Canada","21161","Share of AFS employment in total employment","1","Total","2022","2022","6121","Value","3044","FAO Model","%","16.21","X","Figure from external organization","Derived from Statistics Canada. Table 14-10-0202-01  Employment by industry, annual"
"OEA","Employment Indicators: Agriculture and agrifood systems","124","Canada","21162","Share of agricultural employment in total AFS employment","1","Total","2016","2016","6121","Value","3044","FAO Model","%","12.36","X","Figure from external organization","ILO Modelled Estimates"
"OEA","Employment Indicators: Agriculture and agrifood systems","124","Canada","21162","Share of agricultural employment in total AFS employment","1","Total","2017","2017","6121","Value","3044","FAO Model","%","9.92","X","Figure from external organization","ILO Modelled Estimates"
