Country,Year,emissions_avg,temperatures_avg
Canada,2016,14849.443088652486,2.1845000000000003
Canada,2017,15406.765792907807,1.6494999999999995
Canada,2018,15544.783024822698,0.6524999999999999
Canada,2019,15509.993280141849,1.2444999999999997
Canada,2020,14507.111250354614,1.347833333333333
Canada,2021,14435.965929787233,2.2045000000000003
Canada,2022,14634.380093617026,1.34575
Canada,2023,14940.749817730502,2.90475
Mexico,2016,11637.034916783221,1.3383333333333332
Mexico,2017,11473.03284965035,1.4796666666666667
Mexico,2018,11486.818266433567,1.1650833333333335
Mexico,2019,11552.458274825174,1.3764166666666666
Mexico,2020,11141.308551048955,1.5974166666666665
Mexico,2021,11563.55018741259,1.3118333333333332
Mexico,2022,12010.380955944056,1.0695
Mexico,2023,12060.390510489511,1.7581666666666669
"United States of America",2016,85059.81147755102,1.9915000000000003
"United States of America",2017,84681.71042380952,1.5613333333333335
"United States of America",2018,87178.78877346938,1.234333333333333
"United States of America",2019,86527.01163537413,1.0419166666666666
"United States of America",2020,78597.49696462585,1.3134999999999997
"United States of America",2021,86796.99586462585,1.2538333333333334
"United States of America",2022,87733.98719455782,0.9879166666666667
"United States of America",2023,85920.8846537415,1.4340833333333334
