Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Flag Description
"ET","Temperature change on land","124","Canada","7271","Temperature change","7001","January","2016","2016","°c","5.542","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7001","January","2017","2017","°c","5.431","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7001","January","2018","2018","°c","2.675","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7001","January","2019","2019","°c","1.703","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7001","January","2020","2020","°c","2.846","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7001","January","2021","2021","°c","7.07","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7001","January","2022","2022","°c","0.978","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7001","January","2023","2023","°c","5.265","E","Estimated value"
"ET","Temperature change on land","124","Canada","6078","Standard Deviation","7001","January","2016","2016","°c","1.936","E","Estimated value"
"ET","Temperature change on land","124","Canada","6078","Standard Deviation","7001","January","2017","2017","°c","1.936","E","Estimated value"
"ET","Temperature change on land","124","Canada","6078","Standard Deviation","7001","January","2018","2018","°c","1.936","E","Estimated value"
"ET","Temperature change on land","124","Canada","6078","Standard Deviation","7001","January","2019","2019","°c","1.936","E","Estimated value"
"ET","Temperature change on land","124","Canada","6078","Standard Deviation","7001","January","2020","2020","°c","1.936","E","Estimated value"
"ET","Temperature change on land","124","Canada","6078","Standard Deviation","7001","January","2021","2021","°c","1.936","E","Estimated value"
"ET","Temperature change on land","124","Canada","6078","Standard Deviation","7001","January","2022","2022","°c","1.936","E","Estimated value"
"ET","Temperature change on land","124","Canada","6078","Standard Deviation","7001","January","2023","2023","°c","1.936","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7002","February","2016","2016","°c","2.857","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7002","February","2017","2017","°c","2.788","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7002","February","2018","2018","°c","-0.414","E","Estimated value"
