Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Months Code,Months,Unit,Value,Flag,Flag Description
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2016","2016","7021","Annual value","LCU","727","I","Value imputed by a receiving agency"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2017","2017","7021","Annual value","LCU","732.6","I","Value imputed by a receiving agency"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2018","2018","7021","Annual value","LCU","723.7","I","Value imputed by a receiving agency"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2019","2019","7021","Annual value","LCU","724.5","I","Value imputed by a receiving agency"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2020","2020","7021","Annual value","LCU","736.5","I","Value imputed by a receiving agency"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2021","2021","7021","Annual value","LCU","804.7","I","Value imputed by a receiving agency"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2022","2022","7021","Annual value","LCU","923.7","I","Value imputed by a receiving agency"
"PP","Producer Prices","124","Canada","5530","Producer Price (LCU/tonne)","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2023","2023","7021","Annual value","LCU","962.2","I","Value imputed by a receiving agency"
"PP","Producer Prices","124","Canada","5531","Producer Price (SLC/tonne)","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2016","2016","7021","Annual value","SLC","727","I","Value imputed by a receiving agency"
"PP","Producer Prices","124","Canada","5531","Producer Price (SLC/tonne)","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2017","2017","7021","Annual value","SLC","732.6","I","Value imputed by a receiving agency"
"PP","Producer Prices","124","Canada","5531","Producer Price (SLC/tonne)","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2018","2018","7021","Annual value","SLC","723.7","I","Value imputed by a receiving agency"
"PP","Producer Prices","124","Canada","5531","Producer Price (SLC/tonne)","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2019","2019","7021","Annual value","SLC","724.5","I","Value imputed by a receiving agency"
"PP","Producer Prices","124","Canada","5531","Producer Price (SLC/tonne)","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2020","2020","7021","Annual value","SLC","736.5","I","Value imputed by a receiving agency"
"PP","Producer Prices","124","Canada","5531","Producer Price (SLC/tonne)","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2021","2021","7021","Annual value","SLC","804.7","I","Value imputed by a receiving agency"
"PP","Producer Prices","124","Canada","5531","Producer Price (SLC/tonne)","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2022","2022","7021","Annual value","SLC","923.7","I","Value imputed by a receiving agency"
"PP","Producer Prices","124","Canada","5531","Producer Price (SLC/tonne)","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2023","2023","7021","Annual value","SLC","962.2","I","Value imputed by a receiving agency"
"PP","Producer Prices","124","Canada","5532","Producer Price (USD/tonne)","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2016","2016","7021","Annual value","USD","548.5","I","Value imputed by a receiving agency"
"PP","Producer Prices","124","Canada","5532","Producer Price (USD/tonne)","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2017","2017","7021","Annual value","USD","564.6","I","Value imputed by a receiving agency"
"PP","Producer Prices","124","Canada","5532","Producer Price (USD/tonne)","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2018","2018","7021","Annual value","USD","558.5","I","Value imputed by a receiving agency"
"PP","Producer Prices","124","Canada","5532","Producer Price (USD/tonne)","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2019","2019","7021","Annual value","USD","546","I","Value imputed by a receiving agency"
"PP","Producer Prices","124","Canada","5532","Producer Price (USD/tonne)","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2020","2020","7021","Annual value","USD","549.1","I","Value imputed by a receiving agency"
"PP","Producer Prices","124","Canada","5532","Producer Price (USD/tonne)","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2021","2021","7021","Annual value","USD","641.7","I","Value imputed by a receiving agency"
"PP","Producer Prices","124","Canada","5532","Producer Price (USD/tonne)","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2022","2022","7021","Annual value","USD","709.7","I","Value imputed by a receiving agency"
"PP","Producer Prices","124","Canada","5532","Producer Price (USD/tonne)","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2023","2023","7021","Annual value","USD","712.8","I","Value imputed by a receiving agency"
"PP","Producer Prices","124","Canada","5539","Producer Price Index (2014-2016 = 100)","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2016","2016","7021","Annual value","","98.95","I","Value imputed by a receiving agency"
"PP","Producer Prices","124","Canada","5539","Producer Price Index (2014-2016 = 100)","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2017","2017","7021","Annual value","","99.72","I","Value imputed by a receiving agency"
